season,team,score,competitor,competitor_score
2018,Boston Celtics,126,Boston Celtics,94
2018,Boston Celtics,112,Boston Celtics,123
2018,Philadelphia 76ers,117,Philadelphia 76ers,110
2018,Washington Wizards,119,Washington Wizards,106
2018,Sacramento Kings,102,Sacramento Kings,96
2018,Detroit Pistons,121,Detroit Pistons,112
2018,New Orleans Pelicans,122,New Orleans Pelicans,117
2018,Indiana Pacers,105,Indiana Pacers,90
2018,Atlanta Hawks,120,Atlanta Hawks,129
2018,Utah Jazz,125,Utah Jazz,105
2018,Chicago Bulls,125,Chicago Bulls,134
2018,Dallas Mavericks,102,Dallas Mavericks,101
2018,Philadelphia 76ers,143,Philadelphia 76ers,120
2018,Sacramento Kings,117,Sacramento Kings,104
2018,Milwaukee Bucks,83,Milwaukee Bucks,103
2018,Houston Rockets,112,Houston Rockets,117
2018,Golden State Warriors,120,Golden State Warriors,118
2018,Atlanta Hawks,108,Atlanta Hawks,124
2018,Houston Rockets,120,Houston Rockets,104
2018,Toronto Raptors,127,Toronto Raptors,125
2018,Atlanta Hawks,117,Atlanta Hawks,113
2018,Indiana Pacers,99,Indiana Pacers,90
2018,Chicago Bulls,99,Chicago Bulls,112
2018,Golden State Warriors,115,Golden State Warriors,108
2018,Memphis Grizzlies,107,Memphis Grizzlies,108
